Video_ID,Title,Artist,Channel,Published_At,URL,ImageURL
LsyviHWrNB4,Bessan Ismail x Fouad Jned -  خطية (Official Music Video) | بيسان اسماعيل و فؤاد جنيد,Bessan Ismail Music,Bessan Ismail Music,2025-05-10T15:00:07Z,https://www.youtube.com/watch?v=LsyviHWrNB4,https://i.ytimg.com/vi/LsyviHWrNB4/mqdefault.jpg
ETPU2RY_aCY,حمزة المحمداوي  - اول مرة - ( حصــــرياً ) | 2024 Hamza al-Mhamadawi - awl mara,Hamza Almahmdwi - حمزة المحمداوي,Hamza Almahmdwi - حمزة المحمداوي,2024-10-11T15:07:26Z,https://www.youtube.com/watch?v=ETPU2RY_aCY,https://i.ytimg.com/vi/ETPU2RY_aCY/mqdefault.jpg
Tv4--ekFMKQ,akhras - Skaba (Official Music Video) | الاخرس - سكابا,akhras - الاخرس,akhras - الاخرس,2025-04-23T15:00:50Z,https://www.youtube.com/watch?v=Tv4--ekFMKQ,https://i.ytimg.com/vi/Tv4--ekFMKQ/mqdefault.jpg
rhOAyPKHWEo,Al Shami - Doctor [Official Music Video] (2025) / الشامي - دكتور,Al Shami - الشامي,Al Shami - الشامي,2025-01-13T14:00:08Z,https://www.youtube.com/watch?v=rhOAyPKHWEo,https://i.ytimg.com/vi/rhOAyPKHWEo/mqdefault.jpg
taC1MNiF9-Q,Al Shami - Jinak [Offical Music Video] (2025) / الشامي - جيناك,Al Shami - الشامي,Al Shami - الشامي,2025-05-02T13:00:08Z,https://www.youtube.com/watch?v=taC1MNiF9-Q,https://i.ytimg.com/vi/taC1MNiF9-Q/mqdefault.jpg
tIWr1MO3uVo,احمد ستار - ناري 2025 ( Ahmed Sattar - Nari ( Offical Music Video,Ahmed Sattar - احمد ستار,Ahmed Sattar - احمد ستار,2024-12-19T14:00:07Z,https://www.youtube.com/watch?v=tIWr1MO3uVo,https://i.ytimg.com/vi/tIWr1MO3uVo/mqdefault.jpg
VkH3aMIWntw,Fadel Chaker - Ahla Rasma  | 2025 | فضل شاكر - أحلى رسمه,Fadel Chaker,Fadel Chaker,2025-04-18T15:00:07Z,https://www.youtube.com/watch?v=VkH3aMIWntw,https://i.ytimg.com/vi/VkH3aMIWntw/mqdefault.jpg
2tnAgz-juJc,Assi El Hallani - Bahebek We Bghar | Official Music Video | عاصى الحلانى - بحبك وبغار,Rotana,Rotana,2012-10-06T01:37:06Z,https://www.youtube.com/watch?v=2tnAgz-juJc,https://i.ytimg.com/vi/2tnAgz-juJc/mqdefault.jpg
hDd4B5yuYJY,Bessan Ismail - Al Harbein (Official Music Video) | بيسان اسماعيل - الحربين,Bessan Ismail Music,Bessan Ismail Music,2025-01-07T16:00:06Z,https://www.youtube.com/watch?v=hDd4B5yuYJY,https://i.ytimg.com/vi/hDd4B5yuYJY/mqdefault.jpg
kNIr14EyTaY,Fadel Chaker - Ya Hayat El Roh | فضل شاكر - يا حياة الروح,Fadel Chaker,Fadel Chaker,2024-07-03T13:00:53Z,https://www.youtube.com/watch?v=kNIr14EyTaY,https://i.ytimg.com/vi/kNIr14EyTaY/mqdefault.jpg
QsKK9IXwWHk,Muzo - La3younik Ana (Official Music Video) | لعيونك انا,MUZO,MUZO,2025-02-21T16:33:18Z,https://www.youtube.com/watch?v=QsKK9IXwWHk,https://i.ytimg.com/vi/QsKK9IXwWHk/mqdefault.jpg
_t1BUfMrMiI,Bilal Derky - ليه لأ [Official Lyric Video] (2025),Bilal Derky - بلال ديركي,Bilal Derky - بلال ديركي,2025-01-03T14:00:06Z,https://www.youtube.com/watch?v=_t1BUfMrMiI,https://i.ytimg.com/vi/_t1BUfMrMiI/mqdefault.jpg
4POKvf7JIUs,Nancy Ajram - Warana Eh (Visualizer) / نانسي عجرم - ورانا إيه؟,Nancy Ajram,Nancy Ajram,2025-05-15T15:00:42Z,https://www.youtube.com/watch?v=4POKvf7JIUs,https://i.ytimg.com/vi/4POKvf7JIUs/mqdefault.jpg
YOSuVdRpaNE,حسام الرسام - كيمر عرب | Hussam Alrassam Gemar Arab 2024,Hussam AlRassam - حسام الرسام,Hussam AlRassam - حسام الرسام,2024-06-10T16:00:57Z,https://www.youtube.com/watch?v=YOSuVdRpaNE,https://i.ytimg.com/vi/YOSuVdRpaNE/mqdefault.jpg
iAJ4NuI95Rs,خالد الحلاق - كوكتيل أغاني - ذكريات - كنت شوفك قلبي يطير - موجوع قلبي,خالد الحلاق | Khaled Alhallak ,خالد الحلاق | Khaled Alhallak ,2021-02-07T15:11:38Z,https://www.youtube.com/watch?v=iAJ4NuI95Rs,https://i.ytimg.com/vi/iAJ4NuI95Rs/mqdefault.jpg
TXioVRBD5hI,Al Shami - Wein [Official Music Video] (2024) / الشامي - وين,Al Shami - الشامي,Al Shami - الشامي,2024-07-12T13:00:09Z,https://www.youtube.com/watch?v=TXioVRBD5hI,https://i.ytimg.com/vi/TXioVRBD5hI/mqdefault.jpg
osCw73O_WMo,Marwan Khoury - Kol El Qassayed / مروان خوري - كل القصايد,Rotana,Rotana,2012-10-16T03:34:25Z,https://www.youtube.com/watch?v=osCw73O_WMo,https://i.ytimg.com/vi/osCw73O_WMo/mqdefault.jpg
5F3E4pyPV6c,Al Shami - Dwali [Official Music Video] (2024) / الشامي - دوالي,Al Shami - الشامي,Al Shami - الشامي,2024-09-17T17:00:08Z,https://www.youtube.com/watch?v=5F3E4pyPV6c,https://i.ytimg.com/vi/5F3E4pyPV6c/mqdefault.jpg
O--o-O-ABBw,Elissa &amp; Saad Lamjarred - Min Awel Dekika [Official Video] (2022) / اليسا وسعد لمجرد - من أول دقيقة,Elissa,Elissa,2022-05-04T17:00:12Z,https://www.youtube.com/watch?v=O--o-O-ABBw,https://i.ytimg.com/vi/O--o-O-ABBw/mqdefault.jpg
7CqOg-YJEpI,Ahmed Saad Ft.Yousra - Naghza | احمد سعد و يسرا - نغزة | من برنامج بيت السعد,Ahmed Saad,Ahmed Saad,2024-07-25T16:00:06Z,https://www.youtube.com/watch?v=7CqOg-YJEpI,https://i.ytimg.com/vi/7CqOg-YJEpI/mqdefault.jpg
-NK89xCWM-o,Nassif Zeytoun x Mortadha Ftiti - Ya Sidi Ensa (2024) / ناصيف زيتون ومرتضى فتيتي - يا سيدي انسى,Nassif Zeytoun,Nassif Zeytoun,2024-08-21T13:00:08Z,https://www.youtube.com/watch?v=-NK89xCWM-o,https://i.ytimg.com/vi/-NK89xCWM-o/mqdefault.jpg
KZYqugtbcG0,Sherine - El Watar El Hassas | شيرين - الوتر الحساس,Sherine,Sherine,2018-10-24T16:36:41Z,https://www.youtube.com/watch?v=KZYqugtbcG0,https://i.ytimg.com/vi/KZYqugtbcG0/mqdefault.jpg
